date,city,company,desc,price
2021-05-08,HASSAN,Vencobb,(Large) Per kg,70.0
2021-05-08,MYSORE,Vencobb,(Large) Per kg,70.0
2021-05-08,SHIMOGA,Vencobb,(Large) Per kg,71.0
2021-05-08,hosadurga,Vencobb,(Large) Per Kg,71.0
2021-05-09,BANGALORE,Vencobb,(Large) Per kg,66.0
2021-05-09,HASSAN,Vencobb,(Large) Per kg,74.0
2021-05-09,MYSORE,Vencobb,(Large) Per kg,74.0
2021-05-09,SHIMOGA,Vencobb,(Large) Per kg,77.0
2021-05-09,hosadurga,Vencobb,(Large) Per Kg,77.0
2021-05-10,BANGALORE,Vencobb,(Large) Per kg,76.0
2021-05-10,HASSAN,Vencobb,(Large) Per kg,84.0
2021-05-10,MYSORE,Vencobb,(Large) Per kg,84.0
2021-05-10,SHIMOGA,Vencobb,(Large) Per kg,82.0
2021-05-10,hosadurga,Vencobb,(Large) Per Kg,82.0
2021-05-11,BANGALORE,Vencobb,(Large) Per kg,81.0
2021-05-11,HASSAN,Vencobb,(Large) Per kg,89.0
2021-05-11,MYSORE,Vencobb,(Large) Per kg,89.0
2021-05-11,SHIMOGA,Vencobb,(Large) Per kg,87.0
2021-05-11,hosadurga,Vencobb,(Large) Per Kg,87.0
2021-05-12,BANGALORE,Vencobb,(Large) Per kg,81.0
2021-05-12,HASSAN,Vencobb,(Large) Per kg,89.0
2021-05-12,MYSORE,Vencobb,(Large) Per kg,89.0
2021-05-12,SHIMOGA,Vencobb,(Large) Per kg,87.0
2021-05-12,hosadurga,Vencobb,(Large) Per Kg,87.0
2021-05-13,BANGALORE,Vencobb,(Large) Per kg,86.0
2021-05-13,HASSAN,Vencobb,(Large) Per kg,94.0
2021-05-13,MYSORE,Vencobb,(Large) Per kg,94.0
2021-05-13,SHIMOGA,Vencobb,(Large) Per kg,90.0
2021-05-13,hosadurga,Vencobb,(Large) Per Kg,90.0
2021-05-14,BANGALORE,Vencobb,(Large) Per kg,88.0
2021-05-14,HASSAN,Vencobb,(Large) Per kg,94.0
2021-05-14,MYSORE,Vencobb,(Large) Per kg,94.0
2021-05-14,SHIMOGA,Vencobb,(Large) Per kg,90.0
2021-05-14,hosadurga,Vencobb,(Large) Per Kg,90.0
2021-05-15,BANGALORE,Vencobb,(Large) Per kg,80.0
2021-05-15,HASSAN,Vencobb,(Large) Per kg,80.0
2021-05-15,MYSORE,Vencobb,(Large) Per kg,80.0
2021-05-15,SHIMOGA,Vencobb,(Large) Per kg,84.0
2021-05-15,hosadurga,Vencobb,(Large) Per Kg,84.0
2021-05-16,BANGALORE,Vencobb,(Large) Per kg,70.0
2021-05-16,HASSAN,Vencobb,(Large) Per kg,74.0
2021-05-16,MYSORE,Vencobb,(Large) Per kg,74.0
2021-05-16,SHIMOGA,Vencobb,(Large) Per kg,77.0
2021-05-16,hosadurga,Vencobb,(Large) Per Kg,77.0
2021-05-17,BANGALORE,Vencobb,(Large) Per kg,64.0
2021-05-17,HASSAN,Vencobb,(Large) Per kg,66.0
2021-05-17,MYSORE,Vencobb,(Large) Per kg,66.0
2021-05-17,SHIMOGA,Vencobb,(Large) Per kg,70.0
2021-05-17,hosadurga,Vencobb,(Large) Per Kg,70.0
2021-05-18,BANGALORE,Vencobb,(Large) Per kg,67.0
2021-05-18,HASSAN,Vencobb,(Large) Per kg,68.0
2021-05-18,MYSORE,Vencobb,(Large) Per kg,68.0
2021-05-18,SHIMOGA,Vencobb,(Large) Per kg,72.0
2021-05-18,hosadurga,Vencobb,(Large) Per Kg,72.0
2021-05-19,BANGALORE,Vencobb,(Large) Per kg,67.0
2021-05-19,HASSAN,Vencobb,(Large) Per kg,68.0
2021-05-19,MYSORE,Vencobb,(Large) Per kg,68.0
2021-05-19,SHIMOGA,Vencobb,(Large) Per kg,72.0
2021-05-19,hosadurga,Vencobb,(Large) Per Kg,72.0
2021-05-20,BANGALORE,Vencobb,(Large) Per kg,75.0
2021-05-20,HASSAN,Vencobb,(Large) Per kg,75.0
2021-05-20,MYSORE,Vencobb,(Large) Per kg,75.0
2021-05-20,SHIMOGA,Vencobb,(Large) Per kg,75.0
2021-05-20,hosadurga,Vencobb,(Large) Per Kg,75.0
2021-05-21,BANGALORE,Vencobb,(Large) Per kg,80.0
2021-05-21,HASSAN,Vencobb,(Large) Per kg,80.0
